# 经教材附录及课文语境人工核对的全量读音审计基准（2026-07-25）。
# counting: new=计入250个识字生字；review=蓝色多音字复习项；write=写字表条目。
section	group	character	pinyin	audio	counting
lesson-1	recognize	盐	yán	yan2	new
lesson-1	recognize	薄	bó	bo2	review
lesson-1	recognize	屹	yì	yi4	new
lesson-1	recognize	昂	áng	ang2	new
lesson-1	recognize	顿	dùn	dun4	new
lesson-1	recognize	鼎	dǐng	ding3	new
lesson-1	recognize	沸	fèi	fei4	new
lesson-1	recognize	贯	guàn	guan4	new
lesson-1	recognize	浩	hào	hao4	new
lesson-1	recognize	崩	bēng	beng1	new
lesson-1	recognize	震	zhèn	zhen4	new
lesson-1	recognize	霎	shà	sha4	new
lesson-1	recognize	余	yú	yu2	new
lesson-1	write	潮	cháo	chao2	write
lesson-1	write	据	jù	ju4	write
lesson-1	write	堤	dī	di1	write
lesson-1	write	阔	kuò	kuo4	write
lesson-1	write	盼	pàn	pan4	write
lesson-1	write	滚	gǔn	gun3	write
lesson-1	write	顿	dùn	dun4	write
lesson-1	write	逐	zhú	zhu2	write
lesson-1	write	渐	jiàn	jian4	write
lesson-1	write	堵	dǔ	du3	write
lesson-1	write	犹	yóu	you2	write
lesson-1	write	崩	bēng	beng1	write
lesson-1	write	震	zhèn	zhen4	write
lesson-1	write	霎	shà	sha4	write
lesson-1	write	余	yú	yu2	write
lesson-2	recognize	鹅	é	e2	new
lesson-2	recognize	卵	luǎn	luan3	new
lesson-2	recognize	俗	sú	su2	new
lesson-2	recognize	跃	yuè	yue4	new
lesson-2	recognize	穗	suì	sui4	new
lesson-2	recognize	镀	dù	du4	new
lesson-2	recognize	埂	gěng	geng3	new
lesson-2	recognize	烁	shuò	shuo4	new
lesson-2	write	淘	táo	tao2	write
lesson-2	write	牵	qiān	qian1	write
lesson-2	write	鹅	é	e2	write
lesson-2	write	卵	luǎn	luan3	write
lesson-2	write	坑	kēng	keng1	write
lesson-2	write	洼	wā	wa1	write
lesson-2	write	填	tián	tian2	write
lesson-2	write	庄	zhuāng	zhuang1	write
lesson-2	write	稼	jià	jia4	write
lesson-2	write	俗	sú	su2	write
lesson-2	write	跃	yuè	yue4	write
lesson-2	write	葡	pú	pu2	write
lesson-2	write	萄	táo	tao2	write
lesson-2	write	稻	dào	dao4	write
lesson-2	write	熟	shú	shu2	write
lesson-3	recognize	巢	cháo	chao2	new
lesson-3	recognize	苇	wěi	wei3	new
lesson-3	recognize	罗	luó	luo2	new
lesson-3	recognize	眠	mián	mian2	new
lesson-3	recognize	霸	bà	ba4	new
lesson-3	recognize	占	zhàn	zhan4	new
lesson-4	recognize	昧	mèi	mei4	new
lesson-4	recognize	坠	zhuì	zhui4	new
lesson-4	recognize	怀	huái	huai2	new
lesson-5	recognize	豌	wān	wan1	new
lesson-5	recognize	按	àn	an4	new
lesson-5	recognize	僵	jiāng	jiang1	new
lesson-5	recognize	预	yù	yu4	new
lesson-5	recognize	揭	jiē	jie1	new
lesson-5	recognize	苔	tái	tai2	new
lesson-5	recognize	囚	qiú	qiu2	new
lesson-5	recognize	框	kuàng	kuang4	new
lesson-5	recognize	溢	yì	yi4	new
lesson-5	write	豌	wān	wan1	write
lesson-5	write	按	àn	an4	write
lesson-5	write	舒	shū	shu1	write
lesson-5	write	适	shì	shi4	write
lesson-5	write	暗	àn	an4	write
lesson-5	write	恐	kǒng	kong3	write
lesson-5	write	僵	jiāng	jiang1	write
lesson-5	write	硬	yìng	ying4	write
lesson-5	write	枪	qiāng	qiang1	write
lesson-5	write	耐	nài	nai4	write
lesson-5	write	探	tàn	tan4	write
lesson-5	write	愉	yú	yu2	write
lesson-5	write	曾	céng	ceng2	write
lesson-5	write	沟	gōu	gou1	write
lesson-6	recognize	蝙	biān	bian1	new
lesson-6	recognize	蝠	fú	fu2	new
lesson-6	recognize	即	jí	ji2	new
lesson-6	recognize	锐	ruì	rui4	new
lesson-6	recognize	系	jì	ji4	review
lesson-6	recognize	铛	dāng	dang1	new
lesson-6	recognize	蝇	yíng	ying2	new
lesson-6	recognize	证	zhèng	zheng4	new
lesson-6	recognize	障	zhàng	zhang4	new
lesson-6	recognize	碍	ài	ai4	new
lesson-6	recognize	荧	yíng	ying2	new
lesson-6	recognize	屏	píng	ping2	new
lesson-6	write	蚊	wén	wen2	write
lesson-6	write	即	jí	ji2	write
lesson-6	write	科	kē	ke1	write
lesson-6	write	横	héng	heng2	write
lesson-6	write	竖	shù	shu4	write
lesson-6	write	绳	shéng	sheng2	write
lesson-6	write	系	jì	ji4	write
lesson-6	write	蝇	yíng	ying2	write
lesson-6	write	证	zhèng	zheng4	write
lesson-6	write	研	yán	yan2	write
lesson-6	write	究	jiū	jiu1	write
lesson-6	write	达	dá	da2	write
lesson-6	write	驾	jià	jia4	write
lesson-6	write	驶	shǐ	shi3	write
lesson-7	recognize	唤	huàn	huan4	new
lesson-7	recognize	获	huò	huo4	new
lesson-7	recognize	赖	lài	lai4	new
lesson-7	recognize	潜	qián	qian2	new
lesson-7	recognize	亿	yì	yi4	new
lesson-7	recognize	索	suǒ	suo3	new
lesson-7	recognize	奥	ào	ao4	new
lesson-7	recognize	舶	bó	bo2	new
lesson-7	recognize	质	zhì	zhi4	new
lesson-7	recognize	哲	zhé	zhe2	new
lesson-7	recognize	兰	lán	lan2	new
lesson-7	write	唤	huàn	huan4	write
lesson-7	write	纪	jì	ji4	write
lesson-7	write	技	jì	ji4	write
lesson-7	write	改	gǎi	gai3	write
lesson-7	write	程	chéng	cheng2	write
lesson-7	write	超	chāo	chao1	write
lesson-7	write	亿	yì	yi4	write
lesson-7	write	核	hé	he2	write
lesson-7	write	奥	ào	ao4	write
lesson-7	write	益	yì	yi4	write
lesson-7	write	联	lián	lian2	write
lesson-7	write	质	zhì	zhi4	write
lesson-7	write	哲	zhé	zhe2	write
lesson-7	write	任	rèn	ren4	write
lesson-7	write	善	shàn	shan4	write
lesson-8	recognize	避	bì	bi4	new
lesson-8	recognize	撼	hàn	han4	new
lesson-8	recognize	喧	xuān	xuan1	new
lesson-8	recognize	雀	qiǎo	qiao3	review
lesson-8	recognize	檐	yán	yan2	new
garden-2	recognize	驻	zhù	zhu4	new
garden-2	recognize	钞	chāo	chao1	new
garden-2	recognize	培	péi	pei2	new
garden-2	recognize	赌	dǔ	du3	new
garden-2	recognize	媒	méi	mei2	new
garden-2	recognize	氛	fēn	fen1	new
garden-2	recognize	账	zhàng	zhang4	new
garden-2	recognize	贺	hè	he4	new
garden-2	recognize	樟	zhāng	zhang1	new
garden-2	recognize	杠	gàng	gang4	new
garden-2	recognize	狡	jiǎo	jiao3	new
garden-2	recognize	猾	huá	hua2	new
lesson-9	recognize	暮	mù	mu4	new
lesson-9	recognize	瑟	sè	se4	new
lesson-9	recognize	缘	yuán	yuan2	new
lesson-9	recognize	降	xiáng	xiang2	review
lesson-9	recognize	骚	sāo	sao1	new
lesson-9	recognize	逊	xùn	xun4	new
lesson-9	recognize	输	shū	shu1	new
lesson-9	write	暮	mù	mu4	write
lesson-9	write	吟	yín	yin2	write
lesson-9	write	题	tí	ti2	write
lesson-9	write	侧	cè	ce4	write
lesson-9	write	峰	fēng	feng1	write
lesson-9	write	庐	lú	lu2	write
lesson-9	write	缘	yuán	yuan2	write
lesson-9	write	降	xiáng	xiang2	write
lesson-9	write	费	fèi	fei4	write
lesson-9	write	须	xū	xu1	write
lesson-9	write	逊	xùn	xun4	write
lesson-9	write	输	shū	shu1	write
lesson-10	recognize	均	jūn	jun1	new
lesson-10	recognize	柄	bǐng	bing3	new
lesson-10	recognize	蜗	wō	wo1	new
lesson-10	recognize	曲	qū	qu1	review
lesson-10	recognize	萎	wěi	wei3	new
lesson-10	write	虎	hǔ	hu3	write
lesson-10	write	操	cāo	cao1	write
lesson-10	write	占	zhàn	zhan4	write
lesson-10	write	嫩	nèn	nen4	write
lesson-10	write	顺	shùn	shun4	write
lesson-10	write	均	jūn	jun1	write
lesson-10	write	叠	dié	die2	write
lesson-10	write	隙	xì	xi4	write
lesson-10	write	茎	jīng	jing1	write
lesson-10	write	柄	bǐng	bing3	write
lesson-10	write	萎	wěi	wei3	write
lesson-10	write	瞧	qiáo	qiao2	write
lesson-10	write	固	gù	gu4	write
lesson-11	recognize	宅	zhái	zhai2	new
lesson-11	recognize	隐	yǐn	yin3	new
lesson-11	recognize	毫	háo	hao2	new
lesson-11	recognize	慎	shèn	shen4	new
lesson-11	recognize	址	zhǐ	zhi3	new
lesson-11	recognize	良	liáng	liang2	new
lesson-11	recognize	掘	jué	jue2	new
lesson-11	recognize	搜	sōu	sou1	new
lesson-11	recognize	倾	qīng	qing1	new
lesson-11	recognize	骤	zhòu	zhou4	new
lesson-11	recognize	置	zhì	zhi4	new
lesson-11	recognize	抛	pāo	pao1	new
lesson-11	write	宅	zhái	zhai2	write
lesson-11	write	临	lín	lin2	write
lesson-11	write	慎	shèn	shen4	write
lesson-11	write	选	xuǎn	xuan3	write
lesson-11	write	择	zé	ze2	write
lesson-11	write	址	zhǐ	zhi3	write
lesson-11	write	良	liáng	liang2	write
lesson-11	write	穴	xué	xue2	write
lesson-11	write	厅	tīng	ting1	write
lesson-11	write	卧	wò	wo4	write
lesson-11	write	专	zhuān	zhuan1	write
lesson-11	write	卫	wèi	wei4	write
lesson-11	write	较	jiào	jiao4	write
lesson-12	recognize	劈	pī	pi1	new
lesson-12	recognize	缓	huǎn	huan3	new
lesson-12	recognize	浊	zhuó	zhuo2	new
lesson-12	recognize	丈	zhàng	zhang4	new
lesson-12	recognize	隆	lóng	long2	new
lesson-12	recognize	肢	zhī	zhi1	new
lesson-12	recognize	躯	qū	qu1	new
lesson-12	recognize	液	yè	ye4	new
lesson-12	write	睁	zhēng	zheng1	write
lesson-12	write	翻	fān	fan1	write
lesson-12	write	斧	fǔ	fu3	write
lesson-12	write	劈	pī	pi1	write
lesson-12	write	缓	huǎn	huan3	write
lesson-12	write	浊	zhuó	zhuo2	write
lesson-12	write	丈	zhàng	zhang4	write
lesson-12	write	撑	chēng	cheng1	write
lesson-12	write	竭	jié	jie2	write
lesson-12	write	累	lèi	lei4	write
lesson-12	write	血	xuè	xue4	write
lesson-12	write	液	yè	ye4	write
lesson-12	write	奔	bēn	ben1	write
lesson-12	write	茂	mào	mao4	write
lesson-12	write	滋	zī	zi1	write
lesson-13	recognize	帝	dì	di4	new
lesson-13	recognize	少	shào	shao4	review
lesson-13	recognize	曰	yuē	yue1	new
lesson-13	recognize	溺	nì	ni4	new
lesson-13	recognize	返	fǎn	fan3	new
lesson-13	write	帝	dì	di4	write
lesson-13	write	曰	yuē	yue1	write
lesson-13	write	溺	nì	ni4	write
lesson-13	write	返	fǎn	fan3	write
lesson-13	write	衔	xián	xian2	write
lesson-14	recognize	斯	sī	si1	new
lesson-14	recognize	惨	cǎn	can3	new
lesson-14	recognize	盗	dào	dao4	new
lesson-14	recognize	驰	chí	chi2	new
lesson-14	recognize	还	huán	huan2	review
lesson-14	recognize	恕	shù	shu4	new
lesson-14	recognize	坚	jiān	jian1	new
lesson-14	recognize	押	yā	ya1	new
lesson-14	recognize	锁	suǒ	suo3	new
lesson-14	recognize	遭	zāo	zao1	new
lesson-14	recognize	恶	è	e4	new
lesson-14	recognize	脏	zàng	zang4	review
lesson-14	recognize	愤	fèn	fen4	new
lesson-14	write	悲	bēi	bei1	write
lesson-14	write	惨	cǎn	can3	write
lesson-14	write	兽	shòu	shou4	write
lesson-14	write	佩	pèi	pei4	write
lesson-14	write	坚	jiān	jian1	write
lesson-14	write	违	wéi	wei2	write
lesson-14	write	抗	kàng	kang4	write
lesson-14	write	环	huán	huan2	write
lesson-14	write	锁	suǒ	suo3	write
lesson-14	write	既	jì	ji4	write
lesson-14	write	狠	hěn	hen3	write
lesson-14	write	著	zhù	zhu4	write
lesson-14	write	愤	fèn	fen4	write
lesson-14	write	获	huò	huo4	write
lesson-15	recognize	措	cuò	cuo4	new
lesson-15	recognize	混	hùn	hun4	new
lesson-15	recognize	项	xiàng	xiang4	new
lesson-15	recognize	熄	xī	xi1	new
lesson-15	recognize	浆	jiāng	jiang1	new
lesson-15	recognize	塌	tā	ta1	new
lesson-15	recognize	杀	shā	sha1	new
lesson-15	recognize	颂	sòng	song4	new
lesson-15	recognize	绩	jì	ji4	new
garden-4	recognize	圃	pǔ	pu3	new
garden-4	recognize	卉	huì	hui4	new
garden-4	recognize	蕾	lěi	lei3	new
garden-4	recognize	蕊	ruǐ	rui3	new
garden-4	recognize	玫	méi	mei2	new
garden-4	recognize	茉	mò	mo4	new
garden-4	recognize	莉	lì	li4	new
garden-4	recognize	牡	mǔ	mu3	new
garden-4	recognize	丹	dān	dan1	new
garden-4	recognize	棠	táng	tang2	new
lesson-16	recognize	嗅	xiù	xiu4	new
lesson-16	recognize	奈	nài	nai4	new
lesson-16	recognize	拯	zhěng	zheng3	new
lesson-16	recognize	嘶	sī	si1	new
lesson-16	recognize	哑	yǎ	ya3	new
lesson-16	recognize	庞	páng	pang2	new
lesson-16	write	嗅	xiù	xiu4	write
lesson-16	write	呆	dāi	dai1	write
lesson-16	write	奈	nài	nai4	write
lesson-16	write	巢	cháo	chao2	write
lesson-16	write	齿	chǐ	chi3	write
lesson-16	write	躯	qū	qu1	write
lesson-16	write	掩	yǎn	yan3	write
lesson-16	write	护	hù	hu4	write
lesson-16	write	幼	yòu	you4	write
lesson-16	write	搏	bó	bo2	write
lesson-16	write	庞	páng	pang2	write
lesson-16	write	量	liàng	liang4	write
lesson-16	write	愣	lèng	leng4	write
lesson-17	recognize	级	jí	ji2	new
lesson-17	recognize	链	liàn	lian4	new
lesson-17	recognize	攀	pān	pan1	new
lesson-17	recognize	相	xiàng	xiang4	review
lesson-17	recognize	辫	biàn	bian4	new
lesson-17	recognize	呵	hē	he1	new
lesson-17	write	级	jí	ji2	write
lesson-17	write	链	liàn	lian4	write
lesson-17	write	颤	chàn	chan4	write
lesson-17	write	攀	pān	pan1	write
lesson-17	write	猴	hóu	hou2	write
lesson-17	write	念	niàn	nian4	write
lesson-17	write	辫	biàn	bian4	write
lesson-17	write	呵	hē	he1	write
lesson-18	recognize	谓	wèi	wei4	new
lesson-18	recognize	拳	quán	quan2	new
lesson-18	recognize	捶	chuí	chui2	new
lesson-18	recognize	顽	wán	wan2	new
lesson-18	recognize	吁	yū	yu1	review
lesson-18	recognize	襟	jīn	jin1	new
lesson-18	recognize	膊	bó	bo2	new
lesson-18	recognize	瓶	píng	ping2	new
lesson-18	recognize	怖	bù	bu4	new
lesson-18	recognize	凭	píng	ping2	new
lesson-18	recognize	欺	qī	qi1	new
lesson-18	recognize	掐	qiā	qia1	new
lesson-18	write	摸	mō	mo1	write
lesson-18	write	甚	shèn	shen4	write
lesson-18	write	跪	guì	gui4	write
lesson-18	write	捶	chuí	chui2	write
lesson-18	write	绕	rào	rao4	write
lesson-18	write	顽	wán	wan2	write
lesson-18	write	脖	bó	bo2	write
lesson-18	write	脱	tuō	tuo1	write
lesson-18	write	概	gài	gai4	write
lesson-18	write	惹	rě	re3	write
lesson-18	write	昏	hūn	hun1	write
lesson-18	write	握	wò	wo4	write
lesson-18	write	摔	shuāi	shuai1	write
lesson-18	write	凭	píng	ping2	write
lesson-18	write	掐	qiā	qia1	write
lesson-19	recognize	囊	náng	nang2	new
lesson-19	recognize	露	lòu	lou4	review
lesson-19	recognize	羡	xiàn	xian4	new
lesson-19	recognize	角	jué	jue2	review
lesson-19	recognize	殷	yīn	yin1	new
lesson-19	recognize	撇	piě	pie3	new
lesson-19	recognize	啊	ā	a1	review
lesson-19	recognize	霉	méi	mei2	new
lesson-19	recognize	亏	kuī	kui1	new
lesson-19	recognize	哄	hōng	hong1	review
lesson-19	recognize	拙	zhuō	zhuo1	new
lesson-19	recognize	唉	āi	ai1	review
lesson-19	recognize	砸	zá	za2	new
lesson-19	write	殷	yīn	yin1	write
lesson-19	write	段	duàn	duan4	write
lesson-19	write	俩	liǎ	lia3	write
lesson-19	write	练	liàn	lian4	write
lesson-19	write	套	tào	tao4	write
lesson-19	write	裤	kù	ku4	write
lesson-19	write	逃	táo	tao2	write
lesson-19	write	亏	kuī	kui1	write
lesson-19	write	挖	wā	wa1	write
lesson-19	write	撤	chè	che4	write
lesson-19	write	堂	táng	tang2	write
lesson-19	write	砸	zá	za2	write
lesson-19	write	锅	guō	guo1	write
lesson-20	recognize	钉	dīng	ding1	review
lesson-20	recognize	兵	bīng	bing1	new
lesson-20	recognize	败	bài	bai4	new
lesson-20	recognize	恨	hèn	hen4	new
lesson-20	recognize	帅	shuài	shuai4	new
lesson-20	recognize	彻	chè	che4	new
lesson-20	recognize	溃	kuì	kui4	new
lesson-20	recognize	誉	yù	yu4	new
lesson-20	recognize	丑	chǒu	chou3	new
lesson-20	recognize	豪	háo	hao2	new
lesson-20	write	否	fǒu	fou3	write
lesson-20	write	旋	xuán	xuan2	write
lesson-20	write	况	kuàng	kuang4	write
lesson-20	write	兵	bīng	bing1	write
lesson-20	write	败	bài	bai4	write
lesson-20	write	椅	yǐ	yi3	write
lesson-20	write	仍	réng	reng2	write
lesson-20	write	尤	yóu	you2	write
lesson-20	write	恨	hèn	hen4	write
lesson-20	write	帅	shuài	shuai4	write
lesson-20	write	预	yù	yu4	write
lesson-20	write	溃	kuì	kui4	write
lesson-20	write	品	pǐn	pin3	write
lesson-20	write	丑	chǒu	chou3	write
lesson-20	write	豪	háo	hao2	write
garden-6	recognize	韭	jiǔ	jiu3	new
garden-6	recognize	芥	jiè	jie4	new
garden-6	recognize	芹	qín	qin2	new
garden-6	recognize	蒜	suàn	suan4	new
garden-6	recognize	椒	jiāo	jiao1	new
garden-6	recognize	藕	ǒu	ou3	new
garden-6	recognize	薯	shǔ	shu3	new
garden-6	recognize	芋	yù	yu4	new
lesson-21	recognize	塞	sài	sai4	new
lesson-21	recognize	秦	qín	qin2	new
lesson-21	recognize	征	zhēng	zheng1	new
lesson-21	recognize	将	jiàng	jiang4	review
lesson-21	recognize	杰	jié	jie2	new
lesson-21	write	塞	sài	sai4	write
lesson-21	write	秦	qín	qin2	write
lesson-21	write	征	zhēng	zheng1	write
lesson-21	write	词	cí	ci2	write
lesson-21	write	催	cuī	cui1	write
lesson-21	write	醉	zuì	zui4	write
lesson-21	write	杰	jié	jie2	write
lesson-21	write	亦	yì	yi4	write
lesson-21	write	雄	xióng	xiong2	write
lesson-21	write	项	xiàng	xiang4	write
lesson-22	recognize	崛	jué	jue2	new
lesson-22	recognize	范	fàn	fan4	new
lesson-22	recognize	魏	wèi	wei4	new
lesson-22	recognize	晰	xī	xi1	new
lesson-22	recognize	效	xiào	xiao4	new
lesson-22	recognize	淮	huái	huai2	new
lesson-22	recognize	惑	huò	huo4	new
lesson-22	recognize	惩	chéng	cheng2	new
lesson-22	recognize	斥	chì	chi4	new
lesson-22	write	肃	sù	su4	write
lesson-22	write	晰	xī	xi1	write
lesson-22	write	振	zhèn	zhen4	write
lesson-22	write	胸	xiōng	xiong1	write
lesson-22	write	怀	huái	huai2	write
lesson-22	write	赞	zàn	zan4	write
lesson-22	write	效	xiào	xiao4	write
lesson-22	write	凡	fán	fan2	write
lesson-22	write	顾	gù	gu4	write
lesson-22	write	训	xùn	xun4	write
lesson-22	write	斥	chì	chi4	write
lesson-23	recognize	蓄	xù	xu4	new
lesson-23	recognize	迫	pò	po4	new
lesson-23	recognize	租	zū	zu1	new
lesson-23	recognize	纠	jiū	jiu1	new
lesson-23	recognize	缠	chán	chan2	new
lesson-23	recognize	邀	yāo	yao1	new
lesson-23	recognize	扰	rǎo	rao3	new
lesson-23	recognize	拒	jù	ju4	new
lesson-23	recognize	签	qiān	qian1	new
lesson-23	recognize	订	dìng	ding4	new
lesson-23	recognize	宁	nìng	ning4	review
lesson-23	recognize	要	yāo	yao1	review
lesson-23	recognize	妄	wàng	wang4	new
lesson-24	recognize	延	yán	yan2	new
lesson-24	recognize	昔	xī	xi1	new
lesson-24	recognize	茅	máo	mao2	new
lesson-24	recognize	炕	kàng	kang4	new
lesson-24	recognize	旦	dàn	dan4	new
lesson-24	recognize	媚	mèi	mei4	new
lesson-25	recognize	戎	róng	rong2	new
lesson-25	recognize	诸	zhū	zhu1	new
lesson-25	recognize	竞	jìng	jing4	new
lesson-25	recognize	唯	wéi	wei2	new
lesson-25	write	戎	róng	rong2	write
lesson-25	write	尝	cháng	chang2	write
lesson-25	write	诸	zhū	zhu1	write
lesson-25	write	竞	jìng	jing4	write
lesson-25	write	唯	wéi	wei2	write
lesson-26	recognize	豹	bào	bao4	new
lesson-26	recognize	娶	qǔ	qu3	new
lesson-26	recognize	媳	xí	xi2	new
lesson-26	recognize	巫	wū	wu1	new
lesson-26	recognize	绅	shēn	shen1	new
lesson-26	recognize	旱	hàn	han4	new
lesson-26	recognize	徒	tú	tu2	new
lesson-26	recognize	吊	diào	diao4	new
lesson-26	recognize	磕	kē	ke1	new
lesson-26	recognize	凿	záo	zao2	new
lesson-26	recognize	溉	gài	gai4	new
lesson-26	write	豹	bào	bao4	write
lesson-26	write	派	pài	pai4	write
lesson-26	write	娶	qǔ	qu3	write
lesson-26	write	媳	xí	xi2	write
lesson-26	write	妇	fù	fu4	write
